Name	Value	Units	Type	Accuracy	Min	Max	DeclFile	DefnFile	Description
**									
sopk_stepSize	0.1	s	real_T	0.01					
bmsc_NumberInSeries	40	none	real_T	1					
bmsc_NumberInPara	1	none	real_T	1					
bmsc_CellMinVolt	2.7	V	real_T	0.01					
bmsc_CellMaxVolt	4.2	V	real_T	0.01					
sopc_ChargeDerate	0.9	pct	real_T	0.01	0	1			
sopc_DischargeDerate	0.9	pct	real_T	0.01	0	1			
sopc_ChgFaultDerate	0.5	pct	real_T	0.01	0	1			
sopc_DischgFaultDerate	0.5	pct	real_T	0.01	0	1			
